iter	Logloss
0	0.6792952747
1	0.6664006313
2	0.6542808838
3	0.6459025967
4	0.6357407807
5	0.6253965377
6	0.6167175228
7	0.6087248306
8	0.6013499307
9	0.5929964063
10	0.5855336286
11	0.5802296904
12	0.5736249706
13	0.5658650719
14	0.5598080941
15	0.5528116118
16	0.5474447905
17	0.5414292233
18	0.5359940949
19	0.5322051909
20	0.527144152
21	0.5215692171
22	0.5160390367
23	0.510723595
24	0.5060444163
25	0.502055236
26	0.4996487917
27	0.4950565253
28	0.490765288
29	0.4880576941
30	0.4838451329
31	0.4808019703
32	0.4775767801
33	0.474768436
34	0.4725803327
35	0.4696190012
36	0.4682486037
37	0.4657248745
38	0.4635690921
39	0.4611086367
40	0.4584422467
41	0.4565911187
42	0.4537142913
43	0.4511324434
44	0.4492561458
45	0.4468502351
46	0.4445586778
47	0.4424586554
48	0.4411600488
49	0.4395288353
50	0.4377045575
51	0.4356300456
52	0.4341506222
53	0.4330333463
54	0.4306911922
55	0.428653321
56	0.4270859291
57	0.425992935
58	0.4247289441
59	0.4231568922
60	0.4217947608
61	0.4203726456
62	0.4190075823
63	0.4187985489
64	0.4174799811
65	0.4164220575
66	0.4157588986
67	0.4145646667
68	0.4133244765
69	0.4120803192
70	0.4111164813
71	0.4102551421
72	0.4096448886
73	0.4082704586
74	0.4075940322
75	0.4068284205
76	0.406213912
77	0.4055784078
78	0.4046560999
79	0.4038790282
80	0.40291819
81	0.4020398706
82	0.4013531614
83	0.4005133909
84	0.3997041102
85	0.3982997783
86	0.3975299043
87	0.396945246
88	0.3965283738
89	0.3952989119
90	0.394775413
91	0.3937813046
92	0.3929097038
93	0.3921226408
94	0.3916990304
95	0.3910754298
96	0.3898365397
97	0.3893182244
98	0.3885919431
99	0.387864651
100	0.3869354276
101	0.3864811435
102	0.3857890179
103	0.3849960296
104	0.3849194986
105	0.3844912726
106	0.384158982
107	0.3833381332
108	0.3831172524
109	0.3823452611
110	0.3819636978
111	0.3815326379
112	0.3811963119
113	0.3807905488
114	0.3800598927
115	0.3794194528
116	0.3788429922
117	0.378403144
118	0.3774143284
119	0.3769929216
120	0.3765253955
121	0.3760907582
122	0.3755883884
123	0.3751175249
124	0.3746513662
125	0.3740613403
126	0.3739269868
127	0.3735915842
128	0.373560479
129	0.3730497796
130	0.3725214735
131	0.372237462
132	0.3716442394
133	0.37140478
134	0.3709281747
135	0.3705035356
136	0.3701344814
137	0.3699540328
138	0.3699326684
139	0.369402625
140	0.3691081221
141	0.3683466561
142	0.3677519611
143	0.3669029061
144	0.3665821436
145	0.3661843715
146	0.3659738619
147	0.365147438
148	0.364840387
149	0.3643660696
150	0.3641410721
151	0.3632543491
152	0.3628921457
153	0.3622087348
154	0.3619295484
155	0.3615408674
156	0.3611250599
157	0.3608683752
158	0.3604400362
159	0.3598652022
160	0.3594125727
161	0.3588564176
162	0.3582536199
163	0.3578770487
164	0.357370632
165	0.356972148
166	0.3566252053
167	0.356332712
168	0.3561083767
169	0.355762205
170	0.355442768
171	0.3552397763
172	0.3549332707
173	0.3548848823
174	0.3546206863
175	0.3541839579
176	0.3536026705
177	0.3534181849
178	0.3531077582
179	0.3529118776
180	0.3526886909
181	0.3525189682
182	0.3522935814
183	0.3517441432
184	0.3512490833
185	0.351147396
186	0.3509222175
187	0.3507959965
188	0.3505225106
189	0.3502555795
190	0.3499276722
191	0.3498776129
192	0.3493385013
193	0.3490601537
194	0.3487707643
195	0.3482427147
196	0.3479558649
197	0.3478066101
198	0.3475742917
199	0.3474069085
200	0.3472479811
201	0.3467502729
202	0.3466527537
203	0.3464436746
204	0.3461182845
205	0.3458125066
206	0.3454776265
207	0.3451976349
208	0.3449967305
209	0.3448321068
210	0.3443934868
211	0.3441933453
212	0.3439980901
213	0.3437777144
214	0.3435814747
215	0.3433087834
216	0.3432435326
217	0.3429779934
218	0.3427732656
219	0.3426732686
220	0.3423048322
221	0.3421352989
222	0.3420313476
223	0.341863773
224	0.3418444901
225	0.3414735629
226	0.341075743
227	0.3406585032
